bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Grinding Of The Teeth x1.35,tech,stream tech,18,17.86,0.14,0.14
,The Fate of x1.425,stamina,light jumpstream,18,17.79,0.21,0.21
,Agoniya (Opium Remix)(theta) x1.1,speed,high stream,18,17.64,0.36,0.36
,Rip Me Apart(theta) x1.075,jack,dense chordjack,17.8,18.10,-0.30,0.30
,Exitium(eta),tech,stream tech,17.2,17.40,-0.20,0.20
,Intersect Thunderbolt-Remix,speed,mid stream,17.2,16.65,0.55,0.55
,Torment Payback,jack,high chordjack,17.2,17.55,-0.35,0.35
,Collapse of Ego,stamina,dense jumpstream,16.8,16.92,-0.12,0.12
,Angel Dust (2016 Radio Mix)(zeta),jack,anchor chordjack,15.6,15.66,-0.06,0.06
,northern limit(haku) x1.1,tech,stream tech,16.4,16.73,-0.33,0.33
,Purgatorium(efv2) x1.14,tech,stream tech,16.4,16.67,-0.27,0.27
,Angel Dust(spz),stamina,light handstream,16.4,16.20,0.20,0.20
,Angel Dust (2016 Radio Mix)(zeta old),jack,high chordjack,16.4,16.36,0.04,0.04
,Nijuu(zeta),stamina,dense handstream,16.2,16.10,0.10,0.10
,Kizuato(efv3) x1.3,speed,staircase,16.2,16.41,-0.21,0.21
,Apocalyptic Premonition x1.05,tech,stream tech,16,16.12,-0.12,0.12
,NEURO-CLOUD-9(efv3),tech,stream tech,16,16.39,-0.39,0.39
,Senkou no Furea(haku) x1.25,stamina,dense handstream,16,15.66,0.34,0.34
,HIBACHI,speed,high stream,16,16.05,-0.05,0.05
,Credens Justitiam(haku) x1.1,speed,mid stream,16,15.79,0.21,0.21
,Double Universe x1.2,jack,mid chordjack,16,16.20,-0.20,0.20
,Infinity Heaven(180bpm),jack,high chordjack,16,16.30,-0.30,0.30
,Runengon(efv3),stamina,dense handstream,15.7,16.00,-0.30,0.30
,Weird Autumn(spz) x1.4,tech,stream tech,15.6,15.74,-0.14,0.14
,Vertex Beta(spz cut),jack,mid chordjack,15.6,15.27,0.33,0.33
,Deadly force - Put an end,stamina,dense handstream,15.4,15.80,-0.40,0.40
,Finixe(zeta) x1.1,speed,low stream,15.4,15.73,-0.33,0.33
,Forgotten[Collab(2015)] x1.4,tech,jack tech,15.2,14.80,0.40,0.40
,Matusa Bomber x1.3,tech,stream tech,15,15.34,-0.34,0.34
,Hitsugi to Futago x1.25,stamina,dense jumpstream,15,15.08,-0.08,0.08
,Ash Statues(wafles)[Inhuman],stamina,dense jumpstream,15,15.30,-0.30,0.30
,Mario Point[D-Another],speed,low stream,15,15.35,-0.35,0.35
,Shuuten,speed,high stream,15,15.43,-0.43,0.43
,crazy_tek (DJ Noriken Remix)(e9v3),jack,high chordjack,15,14.94,0.06,0.06
,Rose Quartz(epsilon) x1.3,jack,high chordjack,15,15.09,-0.09,0.09
,Nhelv(e9v3),tech,stream tech,14.8,15.38,-0.58,0.58
,Kimi to bokueno sousouka,speed,Unsigned,14.8,15.01,-0.21,0.21
,Shuu no hazama,tech,stream tech,14.7,14.74,-0.04,0.04
,Paradigm Shift(e8v2) x1.15,speed,low stream,14.7,14.92,-0.22,0.22
,Ash Statues(rachel),stamina,dense jumpstream,14.6,14.79,-0.19,0.19
,CRIMSON FIGHTER x1.15,stamina,dense handstream,14.6,14.84,-0.24,0.24
,Amatsukami x1.15,speed,high stream,14.6,14.97,-0.37,0.37
,Lalala.Refrain(sp7v2) x1.1,speed,mid stream,14.6,14.59,0.01,0.01
,Tactical Railroad(ATTang),speed,high stream,14.6,14.39,0.21,0.21
,Hayabusa(e8v3),jack,high chordjack,14.6,14.63,-0.03,0.03
,Search And Destroy(Ena) x1.25,stamina,dense handstream,14.6,14.92,-0.32,0.32
3755310,Death Melody(e8v2) x1.25,stamina,dense handstream,14.5,14.87,-0.37,0.37
,Stay Alive (Zekk Remix) x1.25,speed,mid stream,14.5,14.79,-0.29,0.29
,Paraclete -Miracle,speed,low stream,14.5,14.48,0.02,0.02
,Alpha,tech,stream tech,14.4,13.73,0.67,0.67
,Ankoku Butoukai,tech,mix tech,14.4,13.79,0.61,0.61
,Kaguyahime(mintapril) x1.2,tech,mix tech,14.4,14.05,0.35,0.35
,Heaven's Fall(e7v3) x1.4,stamina,dense handstream,14.4,14.16,0.24,0.24
,Ash Statues(wafles)[Passable],stamina,light jumpstream,14.4,13.83,0.57,0.57
,STRONG 280(11bit),stamina,dense handstream,14.4,14.30,0.10,0.10
,Pine Nut,speed,high stream,14.4,14.21,0.19,0.19
,LiFE Garden(e7v3) x1.05,jack,high chordjack,14.4,14.27,0.13,0.13
,Crescent Moon Boss Battle x1.05,tech,stream tech,14,13.84,0.16,0.16
,FUTURE DOMINATORS(delta) x1.3,stamina,dense handstream,14,13.93,0.07,0.07
,Quadraphinix x1.5,stamina,dense handstream,14,14.04,-0.04,0.04
,Volcanic(delta),speed,high stream,14,14.23,-0.23,0.23
,STRONG 280(isxi),jack,dense chordjack,14,14.04,-0.04,0.04
,Aquaris(snover) x1.3,jack,low chordjack,14,13.92,0.08,0.08
,Ascension to heaven(sp6v2) x0.975,speed,Unsigned,13.8,13.81,-0.01,0.01
,Nhelv(Guilhermeziat),tech,jack tech,13.6,13.66,-0.06,0.06
,Shadows of Cats(tachyon) x1.2,tech,stream tech,13.6,13.78,-0.18,0.18
,The Empress(delta),stamina,dense handstream,13.6,13.48,0.12,0.12
,Nopea,speed,mid stream,13.6,13.87,-0.27,0.27
,Pastel Subliminal,speed,Unsigned,13.5,14.18,-0.68,0.68
,Extraction,tech,Unsigned,13.4,13.43,-0.03,0.03
,Tornado [Devastation](interliser),tech,mix tech,13.4,13.05,0.35,0.35
,Cyber Inductance(tachyon) x1.4,stamina,dense jumpstream,13.4,13.18,0.22,0.22
3477045,Electric Angel(e5v3) x1.2,speed,high stream,13.4,13.28,0.12,0.12
,Angel Dust(tachyon),speed,high stream,13.4,13.25,0.15,0.15
,Defeat awaken battle ship,jack,high chordjack,13.4,13.21,0.19,0.19
,WE LUV LAMA(gamma) x1.2,stamina,dense jumpstream,13,12.99,0.01,0.01
,Reflec Streamz(gamma),speed,low stream,13,13.38,-0.38,0.38
,Break(loved) x1.1,jack,high chordjack,13,12.79,0.21,0.21
,Sendan Life(OpakyL),jack,dense chordjack,13,12.62,0.38,0.38
,Unsan-musho,tech,stream tech,12.8,12.93,-0.13,0.13
,Sonesaki Shinju(sp5v2) x0.925,speed,Unsigned,12.7,12.76,-0.06,0.06
,Fastest Crash (gamma),tech,stream tech,12.6,12.79,-0.19,0.19
,Shinbatsu o Tadori Kyoukotsu ni Itaru(evening),stamina,dense jumpstream,12.6,12.73,-0.13,0.13
,The Truth Never Spoken,jack,mid chordjack,12.6,12.79,-0.19,0.19
,Bring Our Ignition Back x1.1,jack,mid chordjack,12.6,12.80,-0.20,0.20
,Japanese Transformation(fullerene),stamina,dense jumpstream,12.5,12.48,0.02,0.02
,Crystal World -Fracture-,speed,Unsigned,12.5,13.07,-0.57,0.57
,IMAGE -MATERIAL- Version 0(luminal),stamina,light handstream,12.4,12.11,0.29,0.29
,Lolit Speed,stamina,dense jumpstream,12.4,11.37,1.03,1.03
,Pure Ruby,speed,Unsigned,12.4,12.30,0.10,0.10
,Odin(fullerene),speed,high stream,12.4,12.20,0.20,0.20
,Mario Point[D-Hyper],speed,low stream,12.4,11.95,0.45,0.45
,ZENITHALIZE,jack,high chordjack,12.4,12.72,-0.32,0.32
,IMAGE -MATERIAL- Version 0(fullerene),stamina,light handstream,12.3,12.02,0.28,0.28
,YELL!(e4v2),speed,Unsigned,12.2,12.30,-0.10,0.10
,Asymmetrical Grooves,tech,Unsigned,12,12.72,-0.72,0.72
,Blue Planet,tech,stream tech,12,12.65,-0.65,0.65
,Time to Say Goodbye(beta),stamina,dense jumpstream,12,11.98,0.02,0.02
,Amber Starlight(beta),speed,low stream,12,11.48,0.52,0.52
,Paradigm Shift(beta),jack,high chordjack,12,11.92,0.08,0.08
,Edison(e3v3) x1.15,jack,mid chordjack,12,11.95,0.05,0.05
,Akasha(sp3v2) x0.88,speed,Unsigned,11.7,11.23,0.47,0.47
,End Time(e3v2) x1.1,speed,Unsigned,11.5,11.35,0.15,0.15
,INTERNET OVERDOSE x1.05,tech,stream tech,11.4,12.00,-0.60,0.60
,Euthanasia x1.05,speed,Unsigned,11.2,11.39,-0.19,0.19
,LazorBeamz,stamina,light jumpstream,11,11.40,-0.40,0.40
,Makiba(alpha),speed,low stream,11,11.22,-0.22,0.22
,Dark Sambaland,jack,high chordjack,11,11.40,-0.40,0.40
,Odoru Mizushibuki x1.1,tech,jack tech,10.8,11.23,-0.43,0.43
,Towards the Horizon,tech,Unsigned,10.8,11.28,-0.48,0.48
,P8107 x0.95,speed,low stream,10.8,11.90,-1.10,1.10
,Message(e2v2),speed,low stream,10.7,10.74,-0.04,0.04
,Moment x1.05,jack,high chordjack,10.6,10.82,-0.22,0.22
,Shin Takarajim(sp2v2),speed,Unsigned,10.5,11.20,-0.70,0.70
,Torikago,speed,mid stream,10.4,11.03,-0.63,0.63
,The Lost Dedicated(loved),jack,high chordjack,10.4,11.30,-0.90,0.90
,Eiya no Parade x1.05,speed,low stream,10.3,9.91,0.39,0.39
,Dope Monkeys x1.02,speed,low stream,10.1,9.64,0.46,0.46
,Tailin no Soul x1.2,tech,stream tech,10,9.69,0.31,0.31
,Rave 7 [Hard] x1.1,tech,stream tech,10,10.78,-0.78,0.78
,Chandelier(10),stamina,dense jumpstream,10,11.00,-1.00,1.00
,Oh Curry! x0.9,speed,staircase,10,9.25,0.75,0.75
,The Lost Dedicated(10),jack,high chordjack,10,11.05,-1.05,1.05
,Cicadidae,tech,stream tech,9,9.24,-0.24,0.24
,Firmament Castle Velier(9) x1.05,stamina,dense jumpstream,9,9.93,-0.93,0.93
,Disconnected Trance(9),speed,low stream,9,8.59,0.41,0.41
,Scorpion Dance,jack,high chordjack,9,9.68,-0.68,0.68
,Can't Take my Eyes,jack,low chordjack,9,9.48,-0.48,0.48
,RATO,tech,stream tech,8,8.68,-0.68,0.68
,Anguish(8),stamina,dense jumpstream,8,9.57,-1.57,1.57
,Trickstarz,speed,staircase,8,8.34,-0.34,0.34
,To The Limit(8),jack,high chordjack,8,8.92,-0.92,0.92
,WAVE,tech,mix tech,7,7.29,-0.29,0.29
,Hymn,stamina,light jumpstream,7,7.86,-0.86,0.86
,Last Chance,jack,Unsigned,7,6.63,0.37,0.37
,Five Five Five Guys,speed,low stream,6.6,7.07,-0.47,0.47
,M-A[Expert Lv.15],stamina,dense jumpstream,6.2,8.27,-2.07,2.07
,The Bird's Midair Heatstroke,tech,Unsigned,6,5.62,0.38,0.38
,Luv Lab 22ate!,speed,mid stream,6,6.81,-0.81,0.81
,SOS,speed,mid stream,6,6.02,-0.02,0.02
,Sweet Cherry X,jack,Unsigned,6,6.07,-0.07,0.07
,Back to the Gate[Lv.5100],stamina,dense jumpstream,6,6.74,-0.74,0.74
,Brainfog,tech,Unsigned,5,4.91,0.09,0.09
,Elektric U-Phoria,stamina,dense jumpstream,5,5.91,-0.91,0.91
,Palette GAMMA[Abstract],speed,low stream,5,6.04,-1.04,1.04
,TDPDG,speed,low stream,5,5.80,-0.80,0.80
,Energy Flower 3007,jack,Unsigned,5,4.70,0.30,0.30
,Angel Of Darkness,stamina,light jumpstream,4.2,4.91,-0.71,0.71
,Ephemera,tech,Unsigned,4,4.16,-0.16,0.16
,Shannon's Theorem,tech,stream tech,4,4.51,-0.51,0.51
,CrossOver,jack,Unsigned,4,3.28,0.72,0.72
,Kirlian Shores,tech,Unsigned,3,2.30,0.70,0.70
,True Blue,stamina,Unsigned,3,2.53,0.47,0.47
,Entelechia,speed,mid stream,3,3.25,-0.25,0.25
,Dimension Trippere!!!!,jack,Unsigned,3,2.66,0.34,0.34
,Vermillion,tech,Unsigned,2,2.46,-0.46,0.46
,Eternal Drain,stamina,Unsigned,2,2.57,-0.57,0.57
,Snow Storm,speed,Unsigned,2,1.95,0.05,0.05
,Flashes,jack,Unsigned,2,2.42,-0.42,0.42
,Want U 2,tech,Unsigned,1,1.24,-0.24,0.24
,Tommorow Perfume,stamina,Unsigned,1,2.06,-1.06,1.06
,Shelter,speed,Unsigned,1,1.82,-0.82,0.82
,Miracle Chance,jack,Unsigned,1,1.02,-0.02,0.02
3079544,Night Club Junkie x0.95,speed,low stream,14.6,14.56,0.04,0.04
3079545,Night Club Junkie,speed,low stream,15,15.00,0.00,0.00
3933034,kizuato x1.25,speed,staircase,15.8,15.95,-0.15,0.15
3933037,kizuato x1.3,speed,staircase,16.2,16.41,-0.21,0.21
4692665,Everything Black x0.95,speed,high stream,14.8,15.04,-0.24,0.24
4692669,Everything Black,speed,high stream,15.2,15.28,-0.08,0.08
1455989,Moon Gate,speed,high stream,13,12.55,0.45,0.45
5111540,angel dust,stamina,light handstream,16.4,16.20,0.20,0.20
5195389,Lolit Speed x1.13,stamina,dense jumpstream,14,13.39,0.61,0.61
1305297,Tornado,tech,jacky tech,13.4,13.05,0.35,0.35
2196118,Kaguyahime x1.2,tech,jacky tech,14.4,14.05,0.35,0.35
1065834,Big Brother,tech,stream tech,10,9.80,0.20,0.20
2877294,STRONG 280,stamina,dense handstream,14.4,14.30,0.10,0.10
716700,slavik goblins,stamina,dense handstream,13.7,13.74,-0.04,0.04
1429738,star of andromeda,jack,low chordjack,11,10.02,0.98,0.98
3150955,star of andromeda x1.1,jack,low chordjack,13,11.64,1.36,1.36
3150957,star of andromeda x1.2,jack,low chordjack,14,13.33,0.67,0.67
3150959,star of andromeda x1.3,jack,low chordjack,15,14.30,0.70,0.70
3580775,star of andromeda x1.4,jack,low chordjack,16,15.35,0.65,0.65
2552927,paranoia,jack,low chordjack,10,9.83,0.17,0.17
3260902,The Truth Never Spoken,jack,mid chordjack,12.6,12.79,-0.19,0.19
2308001,Vertex Beta,jack,mid chordjack,15.8,14.16,1.64,1.64
4706643,EVERYTHING BLACK,jack,high chordjack,13.6,13.33,0.27,0.27
3535951,Heaven's Fall x1.3,stamina,dense handstream,13.6,13.13,0.47,0.47
3107371,Rude Buster (Camellia Remix),stamina,dense handstream,14,13.64,0.36,0.36
3107368,Rude Buster (Camellia Remix) x1.1,stamina,dense handstream,15,14.79,0.21,0.21
1937582,Love is War x1.3,stamina,dense handstream,13.6,13.84,-0.24,0.24
2553924,ametsuchi x1.2,jack,low chordjack,8.6,8.27,0.33,0.33
,Oceanus(xfpsb1),ln,hybrid,9.5,8.60,0.90,0.90
,Otenba Koimusume,ln,density,9.5,9.00,0.50,0.50
,Gunjou Infinity [Buffed] (Cut),ln,speed,9.5,8.80,0.70,0.70
,Orca [Broken-],ln,tech,9.5,9.00,0.50,0.50
,Hanatachi ni Kibouwo 1.15x,ln,hybrid,10.5,10.60,-0.10,0.10
,Akasha 1.05x,ln,density,10.5,10.80,-0.30,0.30
,Ano Yume o Nazotte (Cut) 1.15x,ln,speed,10.5,10.20,0.30,0.30
,Yoru ni Kakeru (xfpsb2 Cut) 1.05x,ln,tech,10.5,10.00,0.50,0.50
,L4.8TS,ln,hybrid,11.5,11.40,0.10,0.10
,Utakatayo Ikanaide [LN Edit] (Cut) 1.265x,ln,density,11.5,11.60,-0.10,0.10
,bullet 1.15x,ln,speed,11.5,12.00,-0.50,0.50
,HAMELN [Fanger] (Cut),ln,tech,11.5,9.20,2.30,2.30
,Aegleseeker [Galaxy+],ln,hybrid,12.5,12.00,0.50,0.50
,finorza (Cut),ln,density,12.5,12.20,0.30,0.30
,Kokoro no Shitsuryou (Edit),ln,speed,12.5,12.20,0.30,0.30
,Unmei no Haguruma (Edit),ln,tech,12.5,10.60,1.90,1.90
,ReviveR,ln,hybrid,13.5,13.20,0.30,0.30
,Unleashed World 1.075x,ln,density,13.5,13.00,0.50,0.50
,Kairikou 1.125x,ln,speed,13.5,13.40,0.10,0.10
,Identity Part 5 1.05x,ln,tech,13.5,13.20,0.30,0.30
,Exitium 1.025x,ln,hybrid,14.5,14.20,0.30,0.30
,Ultrasonic Anthem [Ultimate+] 1.1x,ln,density,14.5,14.40,0.10,0.10
,Decoy 1.025x,ln,speed,14.5,14.40,0.10,0.10
,Flamewall (Cut) [Edit] 1.15x,ln,tech,14.5,14.00,0.50,0.50
,Snow Drive (Cut) 1.225x,ln,hybrid,15.5,16.40,-0.90,0.90
,Kaku mo Yuubi na Hi to Narite (Cut) 1.1x,ln,density,15.5,16.40,-0.90,0.90
,Tojita Sekai (xfpsbF Cut),ln,speed,15.5,14.80,0.70,0.70
,Shuu no Hazama (xfpsbF Cut) 1.15x,ln,tech,15.5,14.80,0.70,0.70
4608742,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Doki Doki Literature Club! ~ 2nd ~ (Marathon)],ln,hybrid,2,Invalid: estDiff contains bound symbol (< or >),,
4608744,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Hitorigoto ~ 1st ~ (Marathon)],ln,hybrid,1,Invalid: estDiff contains bound symbol (< or >),,
4608739,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [aura ~ 3rd ~ (Marathon)],ln,hybrid,3,Invalid: estDiff contains bound symbol (< or >),,
4608750,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Otenba Koimusume ~ 4th ~ (Marathon)],ln,hybrid,4,Invalid: estDiff contains bound symbol (< or >),,
4608751,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Pink Gold ~ 5th ~ (Marathon)],ln,hybrid,5,Invalid: estDiff contains bound symbol (< or >),,
4608745,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Koborezu no Negaigoto ~ 6th ~ (Marathon)],ln,hybrid,6,Invalid: estDiff contains bound symbol (< or >),,
4608749,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Missing Banquet ~ 8th ~ (Marathon)],ln,hybrid,8,8.00,0.00,0.00
4608752,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Rock It ~ 7th ~ (Marathon)],ln,hybrid,7,6.60,0.40,0.40
4608741,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Dodger's Gadget ~ 9th ~ (Marathon)],ln,hybrid,9,8.80,0.20,0.20
4614499,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [towa no maigo 1.1x ~ 10th ~ (Marathon)],ln,hybrid,10,10.00,0.00,0.00
4608747,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Kyouki Ranmai ~ Yoru ~ (Marathon)],ln,hybrid,13,12.80,0.20,0.20
4608743,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Enigma 1.1x ~ Yoake ~ (Marathon)],ln,hybrid,11,11.20,-0.20,0.20
4608740,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Carnation [ck remix] 1.05x ~ Yuugure ~ (Marathon)],ln,hybrid,12,12.00,0.00,0.00
4608753,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Protoflicker 1.25x ~ Yokaze ~ (Marathon)],ln,hybrid,16,14.20,1.80,1.80
4608748,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Mare Nectaris ~ Yami ~ (Marathon)],ln,hybrid,14,13.40,0.60,0.60
4608746,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Kodoku no Kakurenbo 1.15x ~ Yume ~ (Marathon)],ln,hybrid,15,15.00,0.00,0.00
4608999,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Dango Daikazoku ~ 1st ~ (Marathon)],ln,release,1,Invalid: estDiff contains bound symbol (< or >),,
4614497,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [SPF 420 ~ 2nd ~ (Marathon)],ln,release,2,Invalid: estDiff contains bound symbol (< or >),,
4609008,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Power To Progress ~ 6th ~ (Marathon)],ln,release,6,Invalid: estDiff contains bound symbol (< or >),,
4609001,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Gee ~ 4th ~ (Marathon)],ln,release,4,Invalid: estDiff contains bound symbol (< or >),,
4609011,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [silver temple ~ 3rd ~ (Marathon)],ln,release,3,Invalid: estDiff contains bound symbol (< or >),,
4609004,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [MilK ~ 5th ~ (Marathon)],ln,release,5,Invalid: estDiff contains bound symbol (< or >),,
4609010,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Shotgun Senorita [Zardonic Remix] ~ 8th ~ (Marathon)],ln,release,8,6.60,1.40,1.40
4609007,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [On the FM ~ 7th ~ (Marathon)],ln,release,7,6.00,1.00,1.00
4609009,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Raijin no Hidariude ~ 9th ~ (Marathon)],ln,release,9,7.40,1.60,1.60
4609000,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Dopamine ~ 10th ~ (Marathon)],ln,release,10,9.00,1.00,1.00
4609006,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [No. 6 ~ Yuugure ~ (Marathon)],ln,tech,12,10.00,2.00,2.00
4608998,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Avalon no oka ~ Yoake ~ (Marathon)],ln,inverse,11,9.00,2.00,2.00
4609003,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Intersect Thunderbolt -Remix ~ Yoru ~ (Marathon)],ln,tech,13,12.20,0.80,0.80
4609002,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Inaiinai isonshou 1.25x ~ Yume ~ (Marathon)],ln,tech,15,13.80,1.20,1.20
4609005,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Nhelv 1.05x ~ Yami ~ (Marathon)],ln,tech,14,13.80,0.20,0.20
4609012,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Cinderella Cage -Trancecore Mix- 1.6x ~ Yokaze ~ (Marathon)],ln,tech,16,15.00,1.00,1.00
4609086,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Nerevar Rising ~ 1st ~ (Marathon)],ln,inverse,1,Invalid: estDiff contains bound symbol (< or >),,
4609080,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Heartbeats ~ 2nd ~ (Marathon)],ln,inverse,2,Invalid: estDiff contains bound symbol (< or >),,
4609079,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [future gazer ~ 4th ~ (Marathon)],ln,inverse,4,Invalid: estDiff contains bound symbol (< or >),,
4609081,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [i use raw expectation to unlock placebo. ~ 3rd ~ (Marathon)],ln,inverse,3,Invalid: estDiff contains bound symbol (< or >),,
4609076,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [ 3 ~ 7th ~ (Marathon)],ln,inverse,7,Invalid: estDiff contains bound symbol (< or >),,
4609085,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Mousou Express [Remix] ~ 6th ~ (Marathon)],ln,inverse,6,5.00,1.00,1.00
4609087,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Promise ~ 5th ~ (Marathon)],ln,inverse,5,Invalid: estDiff contains bound symbol (< or >),,
4609088,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Sakase natsuzora koi no hana. ~ 8th ~ (Marathon)],ln,inverse,8,6.60,1.40,1.40
4609077,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [cold planet ~ 9th ~ (Marathon)],ln,inverse,9,7.80,1.20,1.20
4609084,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Love is War ~ Yoake ~ (Marathon)],ln,density,11,11.00,0.00,0.00
4609089,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Sakura Trip 1.15x ~ 10th ~ (Marathon)],ln,inverse,10,8.40,1.60,1.60
4609078,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [ENDYMION ~ Yuugure ~ (Marathon)],ln,density,12,12.00,0.00,0.00
